latitude,longitude,date,fire_occurred
32.09582419422385,74.75551375900821,2026-08-14,0
31.789472116237455,73.3767093915506,2026-08-14,0
32.902489406547026,76.04455880796141,2026-08-14,0
29.512454530702183,74.80154375158227,2026-08-14,0
30.483192096930324,76.70705995539441,2026-08-14,0
32.29104645308332,74.77365679530932,2026-08-14,0
29.908954887139107,75.21833914806334,2026-08-14,0
32.31052468797033,75.52665759648826,2026-08-12,0
32.032350960341496,74.41810387251947,2026-08-12,0
32.57248448528879,76.11353398829505,2026-08-14,0
29.77855483140787,74.86688401490814,2026-08-14,0
29.61715796827019,75.73219581296982,2026-08-12,0
31.979048623631268,76.87003892973684,2026-08-14,0
30.481838824139476,74.87822324510323,2026-08-14,0
29.757885436337144,73.51968602134188,2026-08-14,0
29.907637396203537,75.67925597873004,2026-08-14,0
30.748607675489325,76.33071278423135,2026-08-14,0
30.249466565528163,76.3290392055808,2026-08-14,0
32.21905742998721,74.5499135161207,2026-08-14,0
31.729982015899903,73.55900993443724,2026-08-14,0
29.799632809900434,73.02944907900402,2026-08-14,0
31.65940342636813,75.82066151450535,2026-08-14,0
32.12291612408787,74.83566310215336,2026-08-14,0
29.55918799251063,73.4581202941439,2026-08-14,0
31.673611847161887,74.88438482457254,2026-08-14,0
32.0599954296641,75.53887328000236,2026-08-14,0
31.214317602631983,75.23682864298165,2026-08-14,0
29.123271338271756,74.74686955692945,2026-08-14,0
29.858338691278117,74.63411457489855,2026-08-14,0
29.93575794346136,73.23321096675626,2026-08-14,0
30.125535568087987,74.17437503106673,2026-08-14,0
31.228128609365115,76.13559283642566,2026-08-14,0
31.65725416130955,74.62554744576028,2026-08-14,0
29.667891679630817,73.09084829253544,2026-08-14,0
29.36019144310257,75.8894374023858,2026-08-14,0
29.645087116134405,75.00417910041345,2026-08-14,0
29.609248410852672,75.78528150031094,2026-08-14,0
30.52408490438593,74.20604835659151,2026-08-14,0
31.521130372475554,74.44725044221356,2026-08-14,0
29.47202360848206,76.84759065819806,2026-08-12,0
32.63432276283043,75.798828535243,2026-08-14,0
32.876705509390895,76.11500361586317,2026-08-14,0
31.86756075663598,74.79744600857515,2026-08-14,0
29.385563848613998,76.61040958617536,2026-08-14,0
30.823105159334446,73.80945345918092,2026-08-14,0
31.316878275767586,73.70709113175693,2026-08-14,0
32.4264571363695,76.03407811934085,2026-08-14,0
30.728372159100417,75.50923536280978,2026-08-14,0
31.336391875650943,75.59938640621928,2026-08-14,0
30.66322960868244,73.16645669544756,2026-08-12,0
30.975963276978074,74.31944484933115,2026-08-14,0
29.413611870890207,75.35057828871085,2026-08-12,0
29.682371874147545,76.70048047350718,2026-08-14,0
30.387479218139347,75.36366196592567,2026-08-14,0
29.09121548411879,76.83423685296579,2026-08-14,0
32.13094090900115,73.33091999968975,2026-08-14,0
30.946633323352643,74.96282797741809,2026-08-14,0
31.2869122095043,74.89395760422782,2026-08-14,0
30.067902652367575,74.3262759893702,2026-08-14,0
30.755645841220186,73.08644831952132,2026-08-14,0
32.30516769677743,76.58464308735907,2026-08-14,0
31.216144574156196,73.43430296454177,2026-08-12,0
31.688960372159247,74.12493513535604,2026-08-14,0
31.90797845714753,76.07458996767063,2026-08-14,0
29.430963783823586,76.66404738055043,2026-08-14,0
29.14965022470472,75.21940987756594,2026-08-14,0
30.483689135449755,76.31915897252965,2026-08-14,0
30.26855557129086,76.81159758027898,2026-08-14,0
30.163671352560474,75.06022851692686,2026-08-14,0
32.74417428019585,73.65843127032807,2026-08-14,0
29.179642477569317,74.74038824001215,2026-08-14,0
32.56670906501966,75.9944320778278,2026-08-14,0
32.5631699635141,76.57378655879145,2026-08-12,0
30.26371620732317,76.08804972844395,2026-08-14,0
31.646645052671044,74.49463091549484,2026-08-14,0
31.987158445396105,74.04984206369146,2026-08-12,0
32.74725260213512,73.96388230002273,2026-08-12,0
32.324450688499624,73.61313726649797,2026-08-12,0
29.717073232630955,75.39753116608337,2026-08-14,0
29.785738662858293,74.24129469160037,2026-08-14,0
32.109619352964714,76.88730570424387,2026-08-14,0
29.575590010205005,73.0557451508328,2026-08-14,0
29.91862411999542,73.52728887114608,2026-08-12,0
29.487330018514125,75.02531972648254,2026-08-14,0
31.777049742571545,75.32446643688361,2026-08-14,0
32.21649810472905,75.8616285184632,2026-08-14,0
31.955936015662168,73.52423100622926,2026-08-14,0
32.71025020402603,74.59031277529976,2026-08-12,0
30.20379476712376,74.95433618140613,2026-08-14,0
32.82249302818788,74.14578490752822,2026-08-14,0
32.699233717248106,73.09943796554502,2026-08-14,0
31.53590044672434,73.42358961500301,2026-08-14,0
29.561358388255652,74.67645727726521,2026-08-12,0
31.38417021293749,76.73209288640085,2026-08-14,0
32.217443662451885,74.86952640622117,2026-08-14,0
29.07134713590795,73.43657598706294,2026-08-14,0
32.31771445953095,76.18726835330065,2026-08-14,0
31.123078362396214,75.42406328280005,2026-08-14,0
32.47095581510405,75.4124286293549,2026-08-14,0
30.49673617362873,74.70352834549404,2026-08-14,0
